[2021-05-16 19:53:12,532]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2021-05-16 19:53:12,533]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2021-05-19 13:04:46,379]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/Saxon_HE_9.5.1_8_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\Saxon_HE_9.5.1_8_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-19 13:04:46,384]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/esapi_2.0.1_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\esapi_2.0.1_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-19 13:04:46,385]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/sample_utils_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\sample_utils_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-19 13:04:46,386]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/process_tools_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\process_tools_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-19 13:04:46,387]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/andes_client_3.3.11_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\andes_client_3.3.11_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-19 13:04:46,388]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/org.wso2.securevault_1.1.3_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\org.wso2.securevault_1.1.3_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-19 13:04:46,388]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/bpmn_sample_jars_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\bpmn_sample_jars_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-19 13:04:46,389]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/bcprov_jdk15on_1.60_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\bcprov_jdk15on_1.60_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-19 13:04:46,390]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/javax.jms_api_2.0.1_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\javax.jms_api_2.0.1_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-19 13:04:46,400]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2021-05-19 13:04:46,402]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2021-05-19 13:04:46,403]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2021-05-19 13:04:46,403]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2021-05-20 12:14:53,121]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/Saxon_HE_9.5.1_8_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\Saxon_HE_9.5.1_8_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:14:53,124]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/esapi_2.0.1_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\esapi_2.0.1_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:14:53,125]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/sample_utils_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\sample_utils_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:14:53,125]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/process_tools_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\process_tools_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:14:53,126]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/andes_client_3.3.11_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\andes_client_3.3.11_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:14:53,126]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/org.wso2.securevault_1.1.3_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\org.wso2.securevault_1.1.3_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
[2021-05-20 12:14:53,127]  WARNING {org.wso2.carbon.server.extensions.DropinsBundleDeployer addNewBundleInfoLines} - Ignoring the deployment of bundle: ../../../dropins/bpmn_sample_jars_6.6.0_1.0.0.jar, because it is already available in the system: ..\..\..\dropins\bpmn_sample_jars_6.6.0_1.0.0.jar. Bundle-SymbolicName and Bundle-Version headers are identical   
